t,x,y,yaw,act_vx,act_wz,closest_i,cte,target_x,target_y,dist_target,dist_goal,desired_yaw,heading_err,heading_err_deg,cmd_vx,cmd_wz,wz_sat,at_goal
1789855250.7008,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855250.7507,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855250.8055,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855250.8515,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855250.9046,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855250.9507,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.0006,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.0510,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.1054,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.1512,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.2017,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.2542,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.3039,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.3527,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.4013,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
1789855251.4506,10.0053,-12.1341,-1.1198,0.0000,0.0000,0,0.0000,10.6259,-13.4386,1.4446,72.9838,-1.1267,-0.0069,-0.3956,0.7949,-0.0069,0,0
